k_BT,Mean_Magnetization,chi,C_v
0.425,1,0,0
3.425,0.000812285,0.000692562,634.206
0.625,-0.999999,1.25343e-09,0.20054
1.625,0.977915,1.73838e-05,659.771
3.225,-0.00494552,0.000891069,764.424
3.725,-0.00168908,0.000532253,520.368
0.125,0.2,-2.71734e-11,0
3.925,-0.000943095,0.000418279,456.983
1.225,-0.996582,2.64326e-06,180.415
2.625,-0.0182857,0.00707539,1681.22
1.825,-0.950535,6.88343e-05,1280.51
3.825,0.0136782,0.000508115,450.283
2.225,-0.763059,0.0013078,3101.34
2.425,-0.11237,0.00351364,2657.3
2.825,-0.0312948,0.00187359,1280.89
1.025,-0.999181,6.83244e-07,61.8656
1.425,-0.311379,0.00320481,494.304
2.025,0.902022,0.00014701,1802.53
0.825,0.999877,1.33127e-07,16.0189
3.025,-0.0158155,0.00103598,1016.48
0.925,0.999619,3.37841e-07,34.9237
1.325,0.994179,4.55985e-06,277.491
3.525,0.00676337,0.000775213,624.816
2.125,-0.857453,0.000378908,2659.5
0.325,-1,0,0
1.525,-0.985159,1.15914e-05,526.595
0.725,-0.999972,2.98078e-08,4.11114
1.125,0.998142,1.48063e-06,116.79
1.725,-0.967125,2.81581e-05,855.163
2.725,0.0098613,0.00233545,1345.23
0.525,1,0,0
2.325,0.301132,0.0227929,4412.57
3.325,0.00330515,0.00079604,700.919
2.925,-0.00753973,0.00109735,983.671
2.525,0.0569465,0.00713869,2343.5
0.025,1,0,0
3.625,-0.00716919,0.000616341,539.07
1.925,-0.932823,8.04134e-05,1460.02
3.125,0.00756524,0.00113867,918.854
0.225,-1,0,0
0.45,0.238881,2.70008e-05,14.2658
3.45,-0.00496608,0.000625396,627.333
3.25,-0.00478116,0.00080296,793.249
3.75,0.00996054,0.00049226,458.145
0.65,-0.181305,0.000676943,85.5152
3.95,-0.00102261,0.000418423,420.345
0.15,-1,0,0
2.65,-0.0617053,0.00319599,1811.88
1.85,0.947735,6.14227e-05,1344.52
1.65,0.975904,2.05763e-05,767.465
3.85,0.00348193,0.00042987,445.772
1.25,0.995951,3.17448e-06,211.468
2.45,0.154574,0.00506268,3085.36
2.25,-0.713643,0.00422013,5195.71
2.85,0.0104234,0.00192472,1011.67
1.05,-0.998904,9.24358e-07,79.5948
1.45,-0.988834,9.53714e-06,440.563
2.05,0.883146,0.000317961,1923.2
3.05,-0.012958,0.00152406,954.125
0.85,0.534568,0.00310712,124.176
2.55,-0.0534555,0.00942317,1784.11
1.35,-0.993052,5.47231e-06,306.693
0.95,-0.0464515,0.0027502,144.024
0.35,1,0,0
3.55,-0.000262741,0.000606127,617.47
2.15,0.822922,0.000582176,2817.7
1.75,0.963532,3.6792e-05,960.559
3.35,0.0109329,0.000889862,713.577
1.15,0.220115,0.000870974,230.807
1.55,-0.943886,0.00537041,4402.31
2.75,0.0237428,0.00377758,1321.2
